time,Activity,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
9/04/2023 0:25,1,0,92,0,0,0,1
9/04/2023 0:25,1,0,92,0,0,0,1
9/04/2023 0:25,1,1,91,0,1,0,0
9/04/2023 0:25,1,0,90,0,1,0,0
9/04/2023 0:25,1,0,90,0,1,0,0
9/04/2023 0:25,1,0,90,0,1,0,0
9/04/2023 0:25,1,0,91,0,0,1,0
9/04/2023 0:25,1,0,91,0,0,1,0
9/04/2023 0:25,1,0,91,0,1,0,0
9/04/2023 0:25,1,0,91,0,1,0,0
9/04/2023 0:25,1,0,92,0,1,0,0
9/04/2023 0:25,1,1,93,0,1,0,0
9/04/2023 0:25,1,1,93,0,1,0,0
9/04/2023 0:25,1,0,94,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,94,0,0,1,0
9/04/2023 0:25,1,0,92,0,0,1,0
9/04/2023 0:25,1,0,92,0,0,1,0
9/04/2023 0:25,1,0,91,0,0,1,0
9/04/2023 0:25,1,0,90,0,0,1,0
9/04/2023 0:25,1,0,90,0,0,1,0
9/04/2023 0:25,1,0,90,0,0,1,0
9/04/2023 0:25,1,0,91,0,0,1,0
9/04/2023 0:25,1,0,91,0,0,1,0
9/04/2023 0:25,1,0,92,0,1,0,0
9/04/2023 0:25,1,0,92,0,1,0,0
9/04/2023 0:25,1,0,94,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,0,92,0,0,1,0
9/04/2023 0:25,1,0,90,0,0,1,0
9/04/2023 0:25,1,0,90,0,0,1,0
9/04/2023 0:25,1,1,90,0,1,0,0
9/04/2023 0:25,1,0,89,0,1,0,0
9/04/2023 0:25,1,0,89,0,1,0,0
9/04/2023 0:25,1,0,89,0,1,0,0
9/04/2023 0:25,1,0,88,0,0,0,1
9/04/2023 0:25,1,0,88,0,0,0,1
9/04/2023 0:25,1,0,89,0,0,0,1
9/04/2023 0:25,1,0,89,0,0,0,1
9/04/2023 0:25,1,0,89,0,0,0,1
9/04/2023 0:25,1,0,91,0,0,0,1
9/04/2023 0:25,1,0,91,0,0,0,1
9/04/2023 0:25,1,0,93,0,0,0,1
9/04/2023 0:25,1,1,94,0,1,0,0
9/04/2023 0:25,1,1,94,0,1,0,0
9/04/2023 0:25,1,0,94,0,1,0,0
9/04/2023 0:25,1,0,93,0,1,0,0
9/04/2023 0:25,1,0,93,0,1,0,0
9/04/2023 0:25,1,0,92,0,0,0,1
9/04/2023 0:25,1,0,92,0,1,0,0
9/04/2023 0:25,1,0,92,0,1,0,0
9/04/2023 0:25,1,0,93,0,0,0,1
9/04/2023 0:25,1,0,93,0,1,0,0
9/04/2023 0:25,1,0,93,0,1,0,0
9/04/2023 0:25,1,0,93,0,0,0,1
9/04/2023 0:25,1,1,94,0,1,0,0
9/04/2023 0:25,1,1,94,0,1,0,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,92,0,0,1,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,93,0,0,1,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:25,1,1,95,0,1,0,0
9/04/2023 0:25,1,1,95,0,1,0,0
9/04/2023 0:25,1,0,95,0,0,1,0
9/04/2023 0:26,1,0,95,0,1,0,0
9/04/2023 0:26,1,0,95,0,1,0,0
9/04/2023 0:26,1,0,95,0,0,1,0
9/04/2023 0:26,1,1,95,0,1,0,0
9/04/2023 0:26,1,1,95,0,1,0,0
9/04/2023 0:26,1,0,89,0,0,1,0
9/04/2023 0:26,1,0,89,0,0,1,0
9/04/2023 0:26,1,0,88,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,87,0,0,1,0
9/04/2023 0:26,1,0,85,0,0,1,0
9/04/2023 0:26,1,0,84,0,0,1,0
9/04/2023 0:26,1,0,82,0,0,1,0
9/04/2023 0:26,1,0,82,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,79,0,0,1,0
9/04/2023 0:26,1,0,79,0,0,1,0
9/04/2023 0:26,1,0,79,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,77,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,82,0,0,1,0
9/04/2023 0:26,1,0,84,0,0,1,0
9/04/2023 0:26,1,0,84,0,0,1,0
9/04/2023 0:26,1,0,84,0,0,1,0
9/04/2023 0:26,1,0,83,0,0,1,0
9/04/2023 0:26,1,0,82,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,81,0,0,1,0
9/04/2023 0:26,1,0,80,0,0,1,0
9/04/2023 0:26,1,0,79,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,0,1,0
9/04/2023 0:26,1,0,78,0,1,0,0
9/04/2023 0:27,1,1,78,0,1,0,0
9/04/2023 0:27,1,0,78,0,1,0,0
9/04/2023 0:27,1,0,78,0,1,0,0
9/04/2023 0:27,1,1,78,0,1,0,0
9/04/2023 0:27,1,1,78,0,1,0,0
9/04/2023 0:27,1,1,78,0,1,0,0
9/04/2023 0:27,1,1,79,0,1,0,0
9/04/2023 0:27,1,0,81,0,1,0,0
9/04/2023 0:27,1,0,81,0,1,0,0
9/04/2023 0:27,1,1,81,0,1,0,0
9/04/2023 0:27,1,1,81,0,1,0,0
9/04/2023 0:27,1,0,85,0,1,0,0
9/04/2023 0:27,1,1,87,0,1,0,0
9/04/2023 0:27,1,1,87,0,1,0,0
9/04/2023 0:27,1,1,103,0,1,0,0
9/04/2023 0:27,1,1,103,0,1,0,0
9/04/2023 0:27,1,1,104,0,1,0,0
9/04/2023 0:27,1,0,103,0,1,0,0
9/04/2023 0:27,1,0,103,0,1,0,0
9/04/2023 0:27,1,1,103,0,1,0,0
9/04/2023 0:27,1,0,101,0,1,0,0
9/04/2023 0:27,1,0,101,0,1,0,0
9/04/2023 0:27,1,0,99,0,1,0,0
9/04/2023 0:27,1,0,97,0,1,0,0
9/04/2023 0:27,1,0,97,0,1,0,0
9/04/2023 0:27,1,1,97,0,1,0,0
9/04/2023 0:27,1,1,97,0,1,0,0
9/04/2023 0:27,1,1,97,0,1,0,0
9/04/2023 0:27,1,0,98,0,1,0,0
9/04/2023 0:27,1,0,98,0,1,0,0
9/04/2023 0:27,1,1,98,0,1,0,0
9/04/2023 0:27,1,0,99,0,0,1,0
9/04/2023 0:27,1,0,99,0,0,1,0
9/04/2023 0:27,1,0,99,0,0,1,0
9/04/2023 0:27,1,0,96,0,1,0,0
9/04/2023 0:27,1,0,96,0,1,0,0
9/04/2023 0:27,1,2,96,0,1,0,0
9/04/2023 0:27,1,2,96,0,1,0,0
9/04/2023 0:27,1,0,96,0,0,1,0
9/04/2023 0:27,1,0,91,0,1,0,0
9/04/2023 0:27,1,0,91,0,1,0,0
9/04/2023 0:27,1,1,89,0,1,0,0
9/04/2023 0:27,1,0,89,0,1,0,0
9/04/2023 0:27,1,0,89,0,1,0,0
9/04/2023 0:27,1,0,89,0,1,0,0
9/04/2023 0:27,1,0,90,0,1,0,0
9/04/2023 0:27,1,0,90,0,1,0,0
9/04/2023 0:27,1,0,91,0,1,0,0
9/04/2023 0:27,1,2,91,0,1,0,0
9/04/2023 0:27,1,2,91,0,1,0,0
9/04/2023 0:27,1,0,91,0,1,0,0
9/04/2023 0:27,1,0,91,0,1,0,0
9/04/2023 0:27,1,0,94,0,1,0,0
9/04/2023 0:27,1,0,94,0,1,0,0
9/04/2023 0:27,1,0,94,0,1,0,0
9/04/2023 0:27,1,0,94,0,1,0,0
9/04/2023 0:27,1,1,96,0,1,0,0
9/04/2023 0:27,1,1,96,0,1,0,0
9/04/2023 0:27,1,1,98,0,1,0,0
9/04/2023 0:27,1,1,99,0,1,0,0
9/04/2023 0:27,1,1,99,0,1,0,0
9/04/2023 0:27,1,1,100,0,1,0,0
9/04/2023 0:27,1,1,100,0,1,0,0
9/04/2023 0:27,1,0,100,0,1,0,0
9/04/2023 0:27,1,0,99,0,1,0,0
9/04/2023 0:27,1,0,99,0,1,0,0
9/04/2023 0:27,1,0,99,0,1,0,0
9/04/2023 0:27,1,0,99,0,1,0,0
9/04/2023 0:27,1,1,100,0,1,0,0
9/04/2023 0:28,1,1,101,0,1,0,0
9/04/2023 0:28,1,1,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,102,0,1,0,0
9/04/2023 0:28,1,2,103,0,1,0,0
9/04/2023 0:28,1,2,103,0,1,0,0
9/04/2023 0:28,1,1,103,0,1,0,0
9/04/2023 0:28,1,1,103,0,1,0,0
9/04/2023 0:28,1,1,103,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,100,0,1,0,0
9/04/2023 0:28,1,0,100,0,1,0,0
9/04/2023 0:28,1,0,100,0,1,0,0
9/04/2023 0:28,1,1,100,0,1,0,0
9/04/2023 0:28,1,1,100,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,1,104,0,1,0,0
9/04/2023 0:28,1,1,104,0,1,0,0
9/04/2023 0:28,1,0,104,0,1,0,0
9/04/2023 0:28,1,0,104,0,1,0,0
9/04/2023 0:28,1,0,103,0,1,0,0
9/04/2023 0:28,1,0,102,0,1,0,0
9/04/2023 0:28,1,0,102,0,1,0,0
9/04/2023 0:28,1,1,102,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,0,101,0,1,0,0
9/04/2023 0:28,1,1,100,0,1,0,0
9/04/2023 0:28,1,0,99,0,0,1,0
9/04/2023 0:28,1,0,99,0,0,1,0
9/04/2023 0:28,1,0,99,0,1,0,0
9/04/2023 0:28,1,1,95,0,1,0,0
9/04/2023 0:28,1,1,92,0,1,0,0
9/04/2023 0:28,1,1,92,0,1,0,0
9/04/2023 0:28,1,0,92,0,1,0,0
9/04/2023 0:28,1,0,91,0,1,0,0
9/04/2023 0:28,1,0,91,0,1,0,0
9/04/2023 0:28,1,1,90,0,1,0,0
9/04/2023 0:28,1,1,90,0,1,0,0
9/04/2023 0:28,1,1,90,0,1,0,0
9/04/2023 0:28,1,0,89,0,1,0,0
9/04/2023 0:28,1,1,89,0,1,0,0
9/04/2023 0:28,1,1,89,0,1,0,0
9/04/2023 0:28,1,1,89,0,1,0,0
9/04/2023 0:28,1,0,90,0,1,0,0
9/04/2023 0:28,1,0,90,0,1,0,0
9/04/2023 0:28,1,1,90,0,1,0,0
9/04/2023 0:28,1,1,90,0,1,0,0
9/04/2023 0:28,1,1,92,0,0,1,0
9/04/2023 0:28,1,0,93,0,0,1,0
9/04/2023 0:28,1,0,93,0,0,1,0
9/04/2023 0:28,1,0,94,0,0,1,0
9/04/2023 0:28,1,0,94,0,0,1,0
9/04/2023 0:28,1,0,94,0,0,1,0
9/04/2023 0:28,1,0,93,0,0,1,0
9/04/2023 0:28,1,0,94,0,1,0,0
9/04/2023 0:28,1,0,91,0,0,0,1
9/04/2023 0:28,1,0,91,0,0,0,1
9/04/2023 0:28,1,0,91,0,0,0,1
9/04/2023 0:28,1,0,90,0,0,0,1
9/04/2023 0:29,1,0,89,0,0,0,1
9/04/2023 0:29,1,0,89,0,0,0,1
9/04/2023 0:29,1,0,88,0,0,0,1
9/04/2023 0:29,1,0,87,0,0,0,1
9/04/2023 0:29,1,0,87,0,0,0,1
9/04/2023 0:29,1,0,87,0,1,0,0
9/04/2023 0:29,1,2,86,0,1,0,0
9/04/2023 0:29,1,0,86,0,1,0,0
9/04/2023 0:29,1,0,86,0,1,0,0
9/04/2023 0:29,1,0,86,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,84,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,85,0,0,0,1
9/04/2023 0:29,1,0,90,0,0,1,0
9/04/2023 0:29,1,0,89,0,0,1,0
9/04/2023 0:29,1,1,88,0,1,0,0
9/04/2023 0:29,1,1,88,0,1,0,0
9/04/2023 0:29,1,0,87,0,0,0,1
9/04/2023 0:29,1,0,88,0,0,0,1
9/04/2023 0:29,1,0,88,0,0,0,1
9/04/2023 0:29,1,0,89,0,1,0,0
9/04/2023 0:29,1,0,89,0,1,0,0
9/04/2023 0:29,1,1,90,0,1,0,0
9/04/2023 0:29,1,0,92,0,0,0,1
9/04/2023 0:29,1,0,92,0,0,0,1
9/04/2023 0:29,1,0,92,0,0,0,1
9/04/2023 0:29,1,0,91,0,0,0,1
